category,state_id,image_group_id,class_id,action,plan_feasible,r1_predicted_residual,true_residual,r1_selected,display_oracle,comparison_model,comparison_prediction,comparison_selected
Q3,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,STOP,True,0.016333723440766335,0.004603717941790819,True,False,,,False
Q3,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,A3,True,0.01720241643488407,0.0037641841918230057,False,False,,,False
Q3,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,A4,True,0.01863047418495019,0.005015254486352205,False,False,,,False
Q3,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,A5,True,0.01944255145887534,0.006601040251553059,False,False,,,False
Q3,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,A6,True,0.020175039147337277,0.0021619368344545364,False,True,,,False
Q4,voc_trajectory_state_f1a0c4e63cb4ea95e4656c0cbaa9ff415269a8ec7d436291f3cf5c20ac55a08f,group_7b2f38585cf568570e9356988146718db6fd975a3d5da40d197ab8d1fce96bb3,2,STOP,True,0.020307191958030064,0.03630978614091873,False,True,,,False
Q4,voc_trajectory_state_f1a0c4e63cb4ea95e4656c0cbaa9ff415269a8ec7d436291f3cf5c20ac55a08f,group_7b2f38585cf568570e9356988146718db6fd975a3d5da40d197ab8d1fce96bb3,2,A3,True,0.01962491807838281,0.03665677458047867,True,False,,,False
Q4,voc_trajectory_state_f1a0c4e63cb4ea95e4656c0cbaa9ff415269a8ec7d436291f3cf5c20ac55a08f,group_7b2f38585cf568570e9356988146718db6fd975a3d5da40d197ab8d1fce96bb3,2,A4,True,0.0240376324703296,0.038224413990974426,False,False,,,False
Q4,voc_trajectory_state_f1a0c4e63cb4ea95e4656c0cbaa9ff415269a8ec7d436291f3cf5c20ac55a08f,group_7b2f38585cf568570e9356988146718db6fd975a3d5da40d197ab8d1fce96bb3,2,A5,True,0.025293214867512386,0.03793938830494881,False,False,,,False
Q4,voc_trajectory_state_f1a0c4e63cb4ea95e4656c0cbaa9ff415269a8ec7d436291f3cf5c20ac55a08f,group_7b2f38585cf568570e9356988146718db6fd975a3d5da40d197ab8d1fce96bb3,2,A6,True,0.025876654932896297,0.0458085760474205,False,False,,,False
Q5,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,STOP,True,0.016333723440766335,0.004603717941790819,True,False,R0_CM_P,0.012096804566681385,False
Q5,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,A3,True,0.01720241643488407,0.0037641841918230057,False,False,R0_CM_P,0.012084698614974817,True
Q5,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,A4,True,0.01863047418495019,0.005015254486352205,False,False,R0_CM_P,0.015103059510389963,False
Q5,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,A5,True,0.01944255145887534,0.006601040251553059,False,False,R0_CM_P,0.017092764377593994,False
Q5,voc_trajectory_state_b7923b11263328b6bde087d7d48fa2d9db74acbc6535f7e27723fd970eadb7fe,group_a3e24e74e6b009517f4c4659d198fbd49ea1a512be0aa2f7169168417541fdb8,19,A6,True,0.020175039147337277,0.0021619368344545364,False,True,R0_CM_P,0.01503526046872139,False
Q6,voc_trajectory_state_bfeb4e64fdba54ef268f557955f48bfbb90936ffbab82b46454de5d604f916dc,group_7d108980094c8fd6e502c4e101299798c5e14cb2a6a65d72b98bc65afed7b7f9,15,STOP,True,0.007545941198865573,0.0,True,True,RETRO_R1_FIT_OOF,0.008841385754446188,False
Q6,voc_trajectory_state_bfeb4e64fdba54ef268f557955f48bfbb90936ffbab82b46454de5d604f916dc,group_7d108980094c8fd6e502c4e101299798c5e14cb2a6a65d72b98bc65afed7b7f9,15,A3,True,0.007613924021522204,0.0,False,False,RETRO_R1_FIT_OOF,0.008821179469426474,True
Q6,voc_trajectory_state_bfeb4e64fdba54ef268f557955f48bfbb90936ffbab82b46454de5d604f916dc,group_7d108980094c8fd6e502c4e101299798c5e14cb2a6a65d72b98bc65afed7b7f9,15,A4,False,0.008069003621737162,,False,False,RETRO_R1_FIT_OOF,0.009806957406302294,False
Q6,voc_trajectory_state_bfeb4e64fdba54ef268f557955f48bfbb90936ffbab82b46454de5d604f916dc,group_7d108980094c8fd6e502c4e101299798c5e14cb2a6a65d72b98bc65afed7b7f9,15,A5,False,0.0079728988930583,,False,False,RETRO_R1_FIT_OOF,0.009586712345480919,False
Q6,voc_trajectory_state_bfeb4e64fdba54ef268f557955f48bfbb90936ffbab82b46454de5d604f916dc,group_7d108980094c8fd6e502c4e101299798c5e14cb2a6a65d72b98bc65afed7b7f9,15,A6,False,0.008267517201602459,,False,False,RETRO_R1_FIT_OOF,0.009881645130614439,False
